customer_id,fraud_timestamp,amount,fraud_type,previous_transactions,fraud_probability,actual_label
CUST0000069,2025-02-17 05:06:37+00:00,2.18,card_testing,5,0.9980641007423401,1
CUST0000186,2025-10-14 11:58:39+00:00,1.72,card_testing,9,0.9990288019180298,1
CUST0000316,2025-04-29 01:07:57+00:00,1.34,card_testing,6,0.9982105493545532,1
CUST0000374,2025-07-07 05:08:54+00:00,24.37,geo_anomaly,8,0.29418236017227173,1
CUST0000539,2025-08-17 14:22:32+00:00,1.66,card_testing,9,0.9953785538673401,1
CUST0000951,2025-08-03 17:30:53+00:00,2.28,card_testing,7,0.9988871812820435,1
CUST0000970,2025-06-28 06:12:13+00:00,1.67,card_testing,5,0.9990161657333374,1
CUST0000997,2025-02-03 21:11:21+00:00,1.31,card_testing,2,0.9978454113006592,1
CUST0001008,2025-05-21 11:58:09+00:00,67.7,geo_anomaly,6,0.3013148903846741,1
CUST0001237,2025-02-27 06:14:47+00:00,1.47,card_testing,3,0.9962926506996155,1
CUST0001437,2025-05-06 20:50:14+00:00,4.16,geo_anomaly,6,0.2874652147293091,1
CUST0001447,2025-10-10 16:29:29+00:00,1.44,card_testing,11,0.9971123337745667,1
CUST0001488,2025-03-04 02:41:20+00:00,14.03,geo_anomaly,4,0.30556631088256836,1
CUST0001682,2025-01-16 06:41:06+00:00,7.42,geo_anomaly,1,0.35654112696647644,1
CUST0001920,2025-09-27 02:16:48+00:00,9.83,geo_anomaly,6,0.2942295968532562,1
CUST0001939,2025-10-29 12:41:04+00:00,1.02,card_testing,9,0.9989852905273438,1
CUST0002030,2025-04-24 08:38:58+00:00,72.11,geo_anomaly,4,0.29375922679901123,1
CUST0002080,2025-03-26 03:11:04+00:00,2.45,card_testing,4,0.9756356477737427,1
CUST0002132,2025-08-30 23:58:10+00:00,1.18,card_testing,10,0.9990566372871399,1
CUST0002325,2025-07-07 05:30:44+00:00,2.44,card_testing,8,0.9989377856254578,1
CUST0002391,2025-07-13 00:54:09+00:00,2.07,card_testing,5,0.9957360625267029,1
CUST0002408,2025-05-22 04:19:19+00:00,1.3,card_testing,5,0.9987096786499023,1
CUST0002701,2025-03-15 09:55:19+00:00,10.85,geo_anomaly,6,0.2940048277378082,1
CUST0002798,2025-07-02 11:22:13+00:00,2.37,card_testing,6,0.9990376830101013,1
CUST0002951,2024-12-29 22:39:53+00:00,17.39,geo_anomaly,3,0.31691718101501465,1
CUST0002986,2025-09-22 18:55:48+00:00,41.01,geo_anomaly,10,0.2917827069759369,1
CUST0003003,2025-04-07 10:35:39+00:00,1.68,card_testing,2,0.9990167021751404,1
CUST0003044,2025-07-15 22:35:24+00:00,16.55,geo_anomaly,9,0.3101995885372162,1
CUST0003136,2025-04-27 16:46:49+00:00,35.81,geo_anomaly,6,0.3088862895965576,1
CUST0003173,2025-06-02 19:37:10+00:00,1.65,card_testing,6,0.9990448355674744,1
CUST0003225,2025-08-03 05:34:02+00:00,2.29,card_testing,7,0.9989079236984253,1
CUST0003394,2024-12-01 08:02:41+00:00,1.44,card_testing,1,0.9728033542633057,1
CUST0003429,2025-01-11 03:38:56+00:00,22.86,geo_anomaly,2,0.36575403809547424,1
CUST0003534,2025-03-11 06:28:16+00:00,1.47,card_testing,3,0.5334065556526184,1
CUST0003541,2025-09-11 13:17:50+00:00,2.0,card_testing,10,0.999043881893158,1
CUST0003584,2025-02-03 14:32:12+00:00,1.15,card_testing,5,0.9938327670097351,1
CUST0003725,2025-09-23 22:00:10+00:00,1.4,card_testing,7,0.9990541934967041,1
CUST0003908,2025-05-31 02:38:36+00:00,11.25,geo_anomaly,4,0.2994679808616638,1
CUST0003910,2025-02-20 06:21:51+00:00,1.73,card_testing,1,0.9979222416877747,1
CUST0003949,2025-08-10 00:21:21+00:00,37.54,money_laundering_ring,4,0.7889257669448853,1
CUST0003961,2025-08-05 01:27:03+00:00,34.07,geo_anomaly,7,0.29588115215301514,1
CUST0004352,2025-04-01 09:53:41+00:00,10.51,geo_anomaly,2,0.2998848259449005,1
CUST0004384,2025-04-18 14:15:44+00:00,172.33,geo_anomaly,5,0.3025931715965271,1
CUST0004384,2025-06-25 21:07:54+00:00,1.72,card_testing,9,0.9990518093109131,1
CUST0004510,2025-08-17 08:53:49+00:00,1.96,card_testing,8,0.9990367293357849,1
CUST0004550,2025-08-20 05:14:44+00:00,17.9,geo_anomaly,5,0.3010803163051605,1
CUST0004713,2025-06-04 23:12:34+00:00,1.0,card_testing,10,0.9987459778785706,1
CUST0004790,2025-07-05 19:04:47+00:00,2.58,card_testing,6,0.9988542199134827,1
CUST0004873,2025-04-08 01:40:48+00:00,2.24,card_testing,7,0.9989442825317383,1
CUST0005075,2025-08-12 02:05:32+00:00,22.46,geo_anomaly,9,0.2870595455169678,1
CUST0005380,2025-10-29 09:13:20+00:00,1.49,card_testing,13,0.9990532994270325,1
CUST0005443,2025-08-14 19:15:58+00:00,1.28,card_testing,15,0.9990407824516296,1
CUST0005579,2025-05-31 02:09:55+00:00,3.08,card_testing,6,0.9883682131767273,1
CUST0005911,2025-05-03 08:08:41+00:00,1.71,card_testing,5,0.9985436797142029,1
CUST0006072,2025-10-15 12:13:35+00:00,1.4,card_testing,9,0.9990519285202026,1
CUST0006100,2025-09-04 03:20:27+00:00,1.77,card_testing,9,0.9990593791007996,1
CUST0006157,2025-04-18 09:35:12+00:00,23.13,money_laundering_ring,3,0.31230059266090393,1
CUST0006178,2025-07-17 23:29:29+00:00,20.19,geo_anomaly,5,0.3039555847644806,1
CUST0006196,2024-11-21 20:50:15+00:00,163.06,geo_anomaly,1,0.41100558638572693,1
CUST0006209,2025-03-08 14:16:19+00:00,4.91,geo_anomaly,3,0.30478519201278687,1
CUST0006311,2025-09-22 03:42:41+00:00,10.29,geo_anomaly,3,0.29473432898521423,1
CUST0006376,2025-06-15 07:34:47+00:00,1.95,card_testing,6,0.9990009069442749,1
CUST0006399,2025-10-05 18:25:20+00:00,1.68,card_testing,8,0.9990096092224121,1
CUST0006643,2024-12-02 23:02:22+00:00,5.82,geo_anomaly,1,0.4226641356945038,1
CUST0006679,2024-12-28 05:16:16+00:00,22.31,account_takeover,2,0.3670942187309265,1
CUST0006679,2024-12-28 12:09:42+00:00,32.99,account_takeover,3,0.5455614328384399,1
CUST0006679,2025-01-20 23:20:33+00:00,26.2,account_takeover,4,0.9711459279060364,1
CUST0006679,2025-06-30 00:11:38+00:00,28.31,account_takeover,11,0.999045193195343,1
CUST0006679,2025-10-10 19:03:39+00:00,51.42,account_takeover,14,0.9984297752380371,1
CUST0006693,2025-10-29 14:43:11+00:00,1.0,card_testing,10,0.9983813166618347,1
CUST0006696,2025-06-06 05:58:18+00:00,40.17,geo_anomaly,10,0.2885303199291229,1
CUST0006835,2025-10-09 20:39:18+00:00,2.15,card_testing,12,0.9986754655838013,1
CUST0006908,2025-10-10 12:50:18+00:00,1.8,card_testing,8,0.9990373849868774,1
CUST0007039,2025-06-27 09:29:38+00:00,1.49,card_testing,10,0.9721959829330444,1
CUST0007063,2025-03-14 09:53:20+00:00,94.87,geo_anomaly,4,0.303825706243515,1
CUST0007140,2025-03-24 19:59:56+00:00,3.59,geo_anomaly,2,0.2985672354698181,1
CUST0007150,2025-09-09 01:20:27+00:00,111.98,geo_anomaly,13,0.2829557955265045,1
CUST0007286,2025-06-12 02:26:35+00:00,1.84,card_testing,8,0.9983705282211304,1
CUST0007314,2025-06-29 05:40:17+00:00,81.12,geo_anomaly,6,0.2985886037349701,1
CUST0007427,2025-07-18 03:42:33+00:00,1.25,card_testing,9,0.9979016184806824,1
CUST0007485,2025-08-12 12:57:34+00:00,48.17,money_laundering_ring,8,0.3120471239089966,1
CUST0007588,2025-02-15 18:38:25+00:00,1.04,card_testing,8,0.996516227722168,1
CUST0007618,2025-05-25 05:41:17+00:00,2.09,card_testing,7,0.9988915324211121,1
CUST0007620,2025-03-09 19:22:45+00:00,1.28,card_testing,3,0.9985119104385376,1
CUST0007731,2025-06-20 14:42:00+00:00,1.79,card_testing,8,0.9990121126174927,1
CUST0007732,2025-01-30 17:20:27+00:00,1.42,card_testing,6,0.9291398525238037,1
CUST0007773,2025-10-30 11:08:23+00:00,15.52,geo_anomaly,6,0.2951816916465759,1
CUST0007785,2025-07-10 18:29:49+00:00,14.11,account_takeover,7,0.9943219423294067,1
CUST0007785,2025-07-10 23:24:05+00:00,30.74,account_takeover,8,0.9927492141723633,1
CUST0008131,2025-03-25 10:33:36+00:00,16.56,geo_anomaly,3,0.3034283518791199,1
CUST0008183,2025-02-21 15:17:05+00:00,1.47,card_testing,5,0.998389720916748,1
CUST0008201,2025-03-07 03:26:42+00:00,15.45,geo_anomaly,7,0.3031642735004425,1
CUST0008229,2025-02-14 07:56:59+00:00,34.75,geo_anomaly,2,0.30392202734947205,1
CUST0008246,2025-04-11 03:40:07+00:00,1.69,card_testing,5,0.997688353061676,1
CUST0008289,2025-02-03 16:04:19+00:00,14.08,money_laundering_ring,4,0.9925835728645325,1
CUST0008451,2025-02-26 16:02:40+00:00,29.81,geo_anomaly,2,0.30176839232444763,1
CUST0008519,2025-05-10 00:33:59+00:00,1.15,card_testing,6,0.999052107334137,1
CUST0008563,2025-02-26 18:31:36+00:00,2.08,card_testing,2,0.9990112781524658,1
CUST0008598,2025-06-24 09:39:12+00:00,1.8,card_testing,1,0.9990091919898987,1
CUST0008636,2025-04-20 15:42:20+00:00,2.47,card_testing,5,0.9984408020973206,1
CUST0008721,2024-12-08 06:34:20+00:00,57.67,account_takeover,2,0.46100446581840515,1
CUST0008721,2025-03-01 19:19:58+00:00,41.35,account_takeover,8,0.9943962097167969,1
