customer_id,fraud_timestamp,amount,fraud_type,previous_transactions,fraud_probability
CUST0000069,2025-02-17 05:06:37+00:00,2.18,card_testing,5,0.33077478408813477
CUST0000186,2025-10-14 11:58:39+00:00,1.72,card_testing,9,0.2902531623840332
CUST0000316,2025-04-29 01:07:57+00:00,1.34,card_testing,6,0.4996618926525116
CUST0000374,2025-07-07 05:08:54+00:00,24.37,geo_anomaly,8,0.2977091073989868
CUST0000539,2025-08-17 14:22:32+00:00,1.66,card_testing,9,0.2950044870376587
CUST0000951,2025-08-03 17:30:53+00:00,2.28,card_testing,7,0.29264286160469055
CUST0000970,2025-06-28 06:12:13+00:00,1.67,card_testing,5,0.2999362647533417
CUST0000997,2025-02-03 21:11:21+00:00,1.31,card_testing,2,0.3213019371032715
CUST0001008,2025-05-21 11:58:09+00:00,67.7,geo_anomaly,6,0.2983669638633728
CUST0001237,2025-02-27 06:14:47+00:00,1.47,card_testing,3,0.2987690269947052
CUST0001437,2025-05-06 20:50:14+00:00,4.16,geo_anomaly,6,0.2869783639907837
CUST0001447,2025-10-10 16:29:29+00:00,1.44,card_testing,11,0.2948177754878998
CUST0001488,2025-03-04 02:41:20+00:00,14.03,geo_anomaly,4,0.304656058549881
CUST0001682,2025-01-16 06:41:06+00:00,7.42,geo_anomaly,1,0.386780709028244
CUST0001920,2025-09-27 02:16:48+00:00,9.83,geo_anomaly,6,0.2951585650444031
CUST0001939,2025-10-29 12:41:04+00:00,1.02,card_testing,9,0.2957743704319
CUST0002030,2025-04-24 08:38:58+00:00,72.11,geo_anomaly,4,0.2914833724498749
CUST0002080,2025-03-26 03:11:04+00:00,2.45,card_testing,4,0.296379953622818
CUST0002132,2025-08-30 23:58:10+00:00,1.18,card_testing,10,0.29532256722450256
CUST0002325,2025-07-07 05:30:44+00:00,2.44,card_testing,8,0.2930709719657898
CUST0002391,2025-07-13 00:54:09+00:00,2.07,card_testing,5,0.30438441038131714
CUST0002408,2025-05-22 04:19:19+00:00,1.3,card_testing,5,0.3080456554889679
CUST0002701,2025-03-15 09:55:19+00:00,10.85,geo_anomaly,6,0.2964053153991699
CUST0002798,2025-07-02 11:22:13+00:00,2.37,card_testing,6,0.30559414625167847
CUST0002951,2024-12-29 22:39:53+00:00,17.39,geo_anomaly,3,0.31634560227394104
CUST0002986,2025-09-22 18:55:48+00:00,41.01,geo_anomaly,10,0.2938321828842163
CUST0003003,2025-04-07 10:35:39+00:00,1.68,card_testing,2,0.3037416338920593
CUST0003044,2025-07-15 22:35:24+00:00,16.55,geo_anomaly,9,0.2952277362346649
CUST0003136,2025-04-27 16:46:49+00:00,35.81,geo_anomaly,6,0.31553760170936584
CUST0003173,2025-06-02 19:37:10+00:00,1.65,card_testing,6,0.2993852198123932
CUST0003225,2025-08-03 05:34:02+00:00,2.29,card_testing,7,0.29782286286354065
CUST0003394,2024-12-01 08:02:41+00:00,1.44,card_testing,1,0.3562287986278534
CUST0003429,2025-01-11 03:38:56+00:00,22.86,geo_anomaly,2,0.31732097268104553
CUST0003534,2025-03-11 06:28:16+00:00,1.47,card_testing,3,0.3227057456970215
CUST0003541,2025-09-11 13:17:50+00:00,2.0,card_testing,10,0.996655285358429
CUST0003584,2025-02-03 14:32:12+00:00,1.15,card_testing,5,0.3106367886066437
CUST0003725,2025-09-23 22:00:10+00:00,1.4,card_testing,7,0.3004898130893707
CUST0003908,2025-05-31 02:38:36+00:00,11.25,geo_anomaly,4,0.300243616104126
CUST0003910,2025-02-20 06:21:51+00:00,1.73,card_testing,1,0.3646913468837738
CUST0003949,2025-08-10 00:21:21+00:00,37.54,money_laundering_ring,4,0.3019336462020874
CUST0003961,2025-08-05 01:27:03+00:00,34.07,geo_anomaly,7,0.3016849458217621
CUST0004352,2025-04-01 09:53:41+00:00,10.51,geo_anomaly,2,0.3385332524776459
CUST0004384,2025-04-18 14:15:44+00:00,172.33,geo_anomaly,5,0.30297669768333435
CUST0004384,2025-06-25 21:07:54+00:00,1.72,card_testing,9,0.29553335905075073
CUST0004510,2025-08-17 08:53:49+00:00,1.96,card_testing,8,0.29790860414505005
CUST0004550,2025-08-20 05:14:44+00:00,17.9,geo_anomaly,5,0.3005335032939911
CUST0004713,2025-06-04 23:12:34+00:00,1.0,card_testing,10,0.2955779433250427
CUST0004790,2025-07-05 19:04:47+00:00,2.58,card_testing,6,0.29273009300231934
CUST0004873,2025-04-08 01:40:48+00:00,2.24,card_testing,7,0.30281245708465576
CUST0005075,2025-08-12 02:05:32+00:00,22.46,geo_anomaly,9,0.2922612130641937
CUST0005380,2025-10-29 09:13:20+00:00,1.49,card_testing,13,0.2939603924751282
CUST0005443,2025-08-14 19:15:58+00:00,1.28,card_testing,15,0.27902951836586
CUST0005579,2025-05-31 02:09:55+00:00,3.08,card_testing,6,0.2946859896183014
CUST0005911,2025-05-03 08:08:41+00:00,1.71,card_testing,5,0.2983019948005676
CUST0006072,2025-10-15 12:13:35+00:00,1.4,card_testing,9,0.2909407615661621
CUST0006100,2025-09-04 03:20:27+00:00,1.77,card_testing,9,0.29618316888809204
CUST0006157,2025-04-18 09:35:12+00:00,23.13,money_laundering_ring,3,0.2970316708087921
CUST0006178,2025-07-17 23:29:29+00:00,20.19,geo_anomaly,5,0.3061433732509613
CUST0006196,2024-11-21 20:50:15+00:00,163.06,geo_anomaly,1,0.34690338373184204
CUST0006209,2025-03-08 14:16:19+00:00,4.91,geo_anomaly,3,0.3111990988254547
CUST0006311,2025-09-22 03:42:41+00:00,10.29,geo_anomaly,3,0.30107206106185913
CUST0006376,2025-06-15 07:34:47+00:00,1.95,card_testing,6,0.30072665214538574
CUST0006399,2025-10-05 18:25:20+00:00,1.68,card_testing,8,0.2915895879268646
CUST0006643,2024-12-02 23:02:22+00:00,5.82,geo_anomaly,1,0.3817625939846039
CUST0006679,2024-12-28 05:16:16+00:00,22.31,account_takeover,2,0.31083422899246216
CUST0006679,2024-12-28 12:09:42+00:00,32.99,account_takeover,3,0.3670942187309265
CUST0006679,2025-01-20 23:20:33+00:00,26.2,account_takeover,4,0.5455614328384399
CUST0006679,2025-06-30 00:11:38+00:00,28.31,account_takeover,11,0.2838689684867859
CUST0006679,2025-10-10 19:03:39+00:00,51.42,account_takeover,14,0.2878274619579315
CUST0006693,2025-10-29 14:43:11+00:00,1.0,card_testing,10,0.2909168601036072
CUST0006696,2025-06-06 05:58:18+00:00,40.17,geo_anomaly,10,0.2872481346130371
CUST0006835,2025-10-09 20:39:18+00:00,2.15,card_testing,12,0.2885146141052246
CUST0006908,2025-10-10 12:50:18+00:00,1.8,card_testing,8,0.29642826318740845
CUST0007039,2025-06-27 09:29:38+00:00,1.49,card_testing,10,0.3001660704612732
CUST0007063,2025-03-14 09:53:20+00:00,94.87,geo_anomaly,4,0.30582988262176514
CUST0007140,2025-03-24 19:59:56+00:00,3.59,geo_anomaly,2,0.3532806634902954
CUST0007150,2025-09-09 01:20:27+00:00,111.98,geo_anomaly,13,0.28729239106178284
